hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,rating_value,review_count,page_index,in_destination_html,match_type
0419,419,Novotel Orleans Chemins De Sologne Demeures De Campagne,NOV,NOVOTEL,ORLEANS,France,"2 rue Honoré de Balzac, ORLEANS Cedex",45071,https://all.accor.com/hotel/0419/index.fr.shtml,catalog_api,france,NOVOTEL ORLEANS CHEMINS DE SOLOGNE DEMEURES DE CAMPAGNE,ORLEANS,4.3,1002,20.0,True,missing
0703,703,ibis Styles Rouen Nord Barentin,IBS,IBIS STYLES,BARENTIN,France,"Route Nationale 15, Centre Commercial Le Mesnil Roux",76360,https://all.accor.com/hotel/0703/index.fr.shtml,catalog_api,france,IBIS STYLES ROUEN NORD BARENTIN,BARENTIN,,,,False,missing
B3B3,B3B3,Hôtel F1 Reims Tinqueux,HOF,HOTELF1,TINQUEUX,France,"2 Avenue André Bourvil, Zac du champs Paveau",51430,https://all.accor.com/hotel/B3B3/index.fr.shtml,catalog_api,france,HOTEL F1 REIMS TINQUEUX,TINQUEUX,,,,False,missing
C1U6,C1U6,greet Hotel Reims Tinqueux,GRE,GREET,TINQUEUX,France,15 Route de Soissons,51430,https://all.accor.com/hotel/C1U6/index.fr.shtml,catalog_api,france,GREET HOTEL REIMS TINQUEUX,TINQUEUX,,,,False,missing
0811,811,ibis Reims Tinqueux,IBH,IBIS,TINQUEUX,France,"50 Route des Soissons, Autoroute A4 A26, Boite Postale 100",51433,https://all.accor.com/hotel/0811/index.fr.shtml,catalog_api,france,IBIS REIMS TINQUEUX,TINQUEUX,,,,False,missing
0428,428,Novotel Reims Tinqueux,NOV,NOVOTEL,TINQUEUX,France,"Route de Soissons, TINQUEUX",51431,https://all.accor.com/hotel/0428/index.fr.shtml,catalog_api,france,NOVOTEL REIMS TINQUEUX,TINQUEUX,,,,False,missing
C079,C079,ibis Styles Saint-Quentin,IBS,IBIS STYLES,SAINT QUENTIN,France,"Avenue Archimede, ZA du bois de la Chocque",02100,https://all.accor.com/hotel/C079/index.fr.shtml,catalog_api,france,IBIS STYLES SAINT QUENTIN,SAINT QUENTIN,,,,False,missing
C1B6,C1B6,TRIBE Reims Centre (Ouverture automne 2026),TRI,TRIBE,REIMS,France,"41 boulevard Foch, BP 2024",51100,https://all.accor.com/hotel/C1B6/index.fr.shtml,catalog_api,france,TRIBE REIMS CENTRE OUVERTURE AUTOMNE 2026,REIMS,,,,False,missing
B678,B678,ibis budget Reims Parc Des Expositions,IBB,IBIS BUDGET,REIMS,France,2 Rue Gabriel Voisin,51100,https://all.accor.com/hotel/B678/index.fr.shtml,catalog_api,france,IBIS BUDGET REIMS PARC DES EXPOSITIONS,REIMS,,,,False,missing
0363,363,Hôtel Mercure Reims Parc des Expositions,MER,MERCURE,REIMS,France,"2 rue Gabriel Voisin, BP 308",51688,https://all.accor.com/hotel/0363/index.fr.shtml,catalog_api,france,HOTEL MERCURE REIMS PARC DES EXPOSITIONS,REIMS,,,,False,missing
B388,B388,La Licorne Hotel & Spa Troyes - MGallery Collection,MGA,MGALLERY,TROYES,France,20 BIS Quai Dampierre,10000,https://all.accor.com/hotel/B388/index.fr.shtml,catalog_api,france,LA LICORNE HOTEL SPA TROYES MGALLERY COLLECTION,TROYES,,,,False,missing
