hotel_id,recap_column,row,etape,sous_etape,data_label,field_key,field_type_hint,raw_value,feature_column
ibis-budget-strasbourg,STRASBOURG,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,97.0,d_recap_generales_donnees_admin_nb_de_chambres
ibis-styles-roissy-cdg,PARIS CDG,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,309.0,d_recap_generales_donnees_admin_nb_de_chambres
novotel-megeve,MEGEVE,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,572.0,d_recap_generales_donnees_admin_nb_de_chambres
novotel-paris-tour-eiffel,TOUR EIFFEL,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,764.0,d_recap_generales_donnees_admin_nb_de_chambres
mercure-montmartre,MONTMARTRE,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,305.0,d_recap_generales_donnees_admin_nb_de_chambres
mercure-boulogne,BOULOGNE,14,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,NB. DE CHAMBRES,1_informations_generales_donnees_admin_nb_de_chambres,numeric,191.0,d_recap_generales_donnees_admin_nb_de_chambres
ibis-budget-nice,NICE,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,,d_recap_generales_donnees_admin_contrat_signe_annee
ibis-budget-strasbourg,STRASBOURG,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,2020.0,d_recap_generales_donnees_admin_contrat_signe_annee
ibis-styles-roissy-cdg,PARIS CDG,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,2015.0,d_recap_generales_donnees_admin_contrat_signe_annee
novotel-megeve,MEGEVE,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,,d_recap_generales_donnees_admin_contrat_signe_annee
novotel-paris-tour-eiffel,TOUR EIFFEL,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,1976.0,d_recap_generales_donnees_admin_contrat_signe_annee
mercure-montmartre,MONTMARTRE,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,,d_recap_generales_donnees_admin_contrat_signe_annee
mercure-boulogne,BOULOGNE,15,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT SIGNE (ANNEE),1_informations_generales_donnees_admin_contrat_signe_annee,numeric,,d_recap_generales_donnees_admin_contrat_signe_annee
ibis-budget-nice,NICE,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,FRANCHISE,d_recap_generales_donnees_admin_contrat_type
ibis-budget-strasbourg,STRASBOURG,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,FRANCHISE,d_recap_generales_donnees_admin_contrat_type
ibis-styles-roissy-cdg,PARIS CDG,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,FRANCHISE,d_recap_generales_donnees_admin_contrat_type
novotel-megeve,MEGEVE,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,FRANCHISE,d_recap_generales_donnees_admin_contrat_type
novotel-paris-tour-eiffel,TOUR EIFFEL,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,MANAGÉ,d_recap_generales_donnees_admin_contrat_type
mercure-montmartre,MONTMARTRE,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,MANAGÉ,d_recap_generales_donnees_admin_contrat_type
mercure-boulogne,BOULOGNE,16,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,CONTRAT (TYPE),1_informations_generales_donnees_admin_contrat_type,categorical,FRANCHISE,d_recap_generales_donnees_admin_contrat_type
ibis-budget-nice,NICE,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,FAMILLE FARINES,d_recap_generales_donnees_admin_proprietaire
ibis-budget-strasbourg,STRASBOURG,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,MILLION - CHOREIN,d_recap_generales_donnees_admin_proprietaire
ibis-styles-roissy-cdg,PARIS CDG,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,FERRE HOTELS,d_recap_generales_donnees_admin_proprietaire
novotel-megeve,MEGEVE,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,FAMILLE DELETTRE,d_recap_generales_donnees_admin_proprietaire
novotel-paris-tour-eiffel,TOUR EIFFEL,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,ACCORINVEST FRANCE,d_recap_generales_donnees_admin_proprietaire
mercure-montmartre,MONTMARTRE,17,"1 - INFORMATIONS
GENERALES",DONNEES ADMIN,PROPRIETAIRE,1_informations_generales_donnees_admin_proprietaire,categorical,ACCORINVEST FRANCE,d_recap_generales_donnees_admin_proprietaire
