nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,0,1,6.0,1,1,H2075
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,1,1,6.0,1,1,H2075
Ibis budget Nice,2025,12,F_B,FOOD SALEE,0,6,16.0,5,4,H2075
Ibis budget Nice,2025,12,F_B,FOOD SALEE,1,2,6.0,2,2,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,0,94,225.10000000000002,58,14,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,1,35,86.80000000000001,24,12,H2075
Ibis budget Nice,2025,12,NAN,nan,0,15,52.0,14,3,H2075
Ibis budget Nice,2025,12,NAN,nan,1,3,6.0,3,1,H2075
Ibis budget Nice,2025,12,N_F_B,#REF!,0,3,32.0,3,2,H2075
Ibis budget Nice,2025,12,N_F_B,ACCESSOIRES,0,3,24.0,3,3,H2075
Ibis budget Nice,2025,12,N_F_B,PAP,0,1,16.0,1,1,H2075
Ibis budget Nice,2025,12,N_F_B,SOS,1,1,4.0,1,1,H2075
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,0,10,50.0,9,4,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,1,5,92.5,4,2,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,0,26,75.5,21,6,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,1,13,63.0,5,5,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,0,70,254.0,53,11,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,1,27,83.5,20,11,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,0,23,237.5,20,4,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,1,4,27.5,3,2,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,0,71,205.0,57,11,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,1,20,69.0,16,8,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,0,88,237.5,80,12,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,1,46,167.0,34,12,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,0,24,77.5,22,4,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,1,7,17.5,7,3,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,0,71,206.5,58,10,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,1,30,116.0,18,8,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,0,184,673.5,140,13,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,1,67,244.5,49,11,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,0,16,70.0,13,2,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,1,5,12.5,5,2,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,0,43,116.0,36,8,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,1,12,60.0,5,5,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,0,120,364.0,95,13,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,1,21,78.0,14,8,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,0,12,30.0,11,2,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,1,9,55.0,5,3,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,0,31,85.0,17,8,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,1,26,108.5,11,7,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,0,90,327.0,65,12,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,1,28,139.5,20,9,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,0,10,77.0,8,5,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,1,12,89.5,11,4,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,0,64,215.5,42,10,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,1,34,104.5,23,9,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,0,98,280.5,84,12,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,1,52,157.5,37,11,HB6A3
