nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,16,1,10.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,17,1,6.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,ACCESSOIRES,21,4,27.0,4,4,H2075
Ibis budget Nice,2024,6,N_F_B,COSMETIQUE,13,1,10.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,JEUX / ENFANTS,14,1,18.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,10,2,23.0,2,2,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,12,3,32.0,3,3,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,14,1,11.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,PAP,18,1,23.0,1,1,H2075
Ibis budget Nice,2024,6,N_F_B,SOS,14,1,16.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,0,2,4.5,2,2,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,2,4,11.0,4,3,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,3,2,6.5,1,2,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,4,2,4.5,2,2,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,11,1,2.5,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,14,1,2.5,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,16,1,2.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,18,3,7.0,2,2,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,19,1,2.5,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,20,2,5.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,21,1,2.0,1,1,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,22,2,4.0,2,2,H2075
Ibis budget Nice,2024,7,F_B,FOOD SALEE,23,2,5.0,2,1,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,0,27,63.2,19,10,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,1,24,52.900000000000006,11,8,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,2,16,35.0,9,5,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,3,17,39.7,7,4,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,4,5,11.3,4,3,H2075
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,5,3,6.6000000000000005,2,1,H2075
