HOTEL_NAME,HOTEL_CITY,HOTEL_LAT,HOTEL_LON,RAYON_KM,OSM_TYPE,OSM_ID,NAME,SHOP_TYPE,BRAND,ADDRESS_STREET,ADDRESS_POSTCODE,ADDRESS_CITY,LAT,LON,DIST_KM
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,11766017598,Le fournil des moulins,bakery,,Place des Amaryllis,,,43.6753126,7.2058313,1.098057315990654
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,11834913242,Nicolas,alcohol,Nicolas,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6587679,7.1969993,1.7019570508085085
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12171865908,Arenas,tobacco,,,,,43.6677216,7.2136619,0.05455877143929329
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441372556,Sabon,cosmetics,Sabon,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6596553,7.1972654,1.6291219219857986
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441372558,,tobacco,,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6594053,7.1971699,1.6507203128085415
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441372580,Lolly's,confectionery,,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.658881,7.1962761,1.7428605488402675
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441372588,Jade,bakery,,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6587693,7.1965918,1.728786445828831
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441617158,L'Occitane,cosmetics,L'Occitane,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6575576,7.1975508,1.7483483869398642
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441617173,Avril,cosmetics,Avril,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6576793,7.1970274,1.7725800503520537
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441617174,Rituals,cosmetics,Rituals,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6577838,7.1971991,1.7545378889399519
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12441623226,KIKO Milano,cosmetics,KIKO Milano,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6585883,7.1974172,1.6863231571048267
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,12818733344,Le Fournil de la Pignata,bakery,,,,,43.6908551,7.2135658,2.5897275888995397
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13580078291,Aelia,alcohol,,,,,43.6651,7.212688,0.30411174690635834
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13618505392,Bonjour,convenience,Bonjour,,,,43.6731149,7.2258578,1.1148915593282185
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13703291512,Obsentum,cosmetics,,,,,43.6599377,7.2061944,1.0707005578190258
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13703291524,Dior,cosmetics,,,,,43.6595302,7.2064921,1.0930215697812704
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13703291525,Chanel,cosmetics,,,,,43.6594487,7.2064412,1.1027916802344038
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13703291526,Fragonard,cosmetics,,,,,43.6592624,7.2060227,1.1391822857390248
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13703291531,Relay,convenience,,,,,43.6589441,7.2057411,1.1811420645280488
Ibis budget Nice,Nice,43.6675713,7.2143076,3,node,13720253023,Du Soleil,bakery,,,,,43.6704408,7.2218183,0.6831867096548985
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,23965615,La Croissanterie,bakery,La Croissanterie,Boulevard du Mercantour,,,43.687793,7.1973033,2.631730535501699
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,63432232,Intermarché,supermarket,Intermarché,,,,43.6677929,7.1932951,1.6902905889631061
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,63434492,Intermarché Super,supermarket,Intermarché,Boulevard Marcel Pagnol,,,43.6673109,7.1839644,2.44079429161349
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,63437454,U Express,convenience,U Express,,,,43.6737905,7.1895228,2.1099762251714016
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,139112453,Vival Abbaye Roseland,convenience,Vival,Boulevard Napoléon III,06200,Nice,43.6888275,7.2301825,2.6863278177513816
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,140242318,Atipic' Marché,convenience,,Avenue de Fabron,,Nice,43.689398,7.219559,2.4634865725380597
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,143789625,Lidl,supermarket,Lidl,Route de Grenoble,,Nice,43.6787795,7.2018385,1.5996702190464687
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,1137933054,Au Moulin Nicois,bakery,,Avenue Martin Luther King,,,43.6746335,7.2043012,1.1244451354936442
Ibis budget Nice,Nice,43.6675713,7.2143076,3,way,1337231909,Presse,kiosk,,,,,43.6692175,7.211457,0.29338861657170945
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,309974648,Le Diplomate,tobacco,,,,,48.88924,2.3259864,0.5351252657090408
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,309974649,Boulangerie - Pâtisserie Méri,bakery,,,,,48.8891621,2.3259594,0.5290623032423782
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,463700064,Franprix,convenience,Franprix,Rue des Dames,75017,Paris,48.8834355,2.3203247,0.7392513260841473
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,463703260,Franprix,convenience,Franprix,,,,48.8862362,2.3189274,0.8211619492704961
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,463705952,Carrefour Express,convenience,Carrefour Express,,,,48.8850436,2.3209236,0.6680600130674994
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,596076650,G20,supermarket,G20,,,,48.8893922,2.3195945,0.893414633754527
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,597271657,Super U,supermarket,Super U,,,,48.8893257,2.3220647,0.7401060862796732
Mercure Paris Montmartre Sacré-Cœur,Paris,48.8852398,2.3300554,1,node,599796542,Carrefour Market,convenience,Carrefour Market,,,,48.8940635,2.3281241,0.9912589898334889
