nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,1,144.0,336.5,85.0,18.0
Ibis budget Nice,2025,6,N_F_B,#REF!,0,15.0,185.0,12.0,8.0
Ibis budget Nice,2025,6,N_F_B,#REF!,1,8.0,110.0,7.0,3.0
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,0,21.0,149.0,17.0,10.0
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,1,10.0,71.0,10.0,7.0
Ibis budget Nice,2025,6,N_F_B,JEUX / ENFANTS,0,2.0,36.0,2.0,1.0
Ibis budget Nice,2025,6,N_F_B,PAP,0,4.0,43.0,4.0,4.0
Ibis budget Nice,2025,6,N_F_B,PAP,1,5.0,70.0,7.0,4.0
Ibis budget Nice,2025,6,N_F_B,SOS,0,1.0,8.0,1.0,1.0
Ibis budget Nice,2025,7,F_B,FOOD SALEE,0,30.0,91.0,25.0,9.0
Ibis budget Nice,2025,7,F_B,FOOD SALEE,1,12.0,30.0,9.0,6.0
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,0,256.0,613.3000000000001,181.0,18.0
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,1,87.0,205.3,55.0,15.0
Ibis budget Nice,2025,7,N_F_B,#REF!,0,23.0,293.0,20.0,12.0
Ibis budget Nice,2025,7,N_F_B,#REF!,1,10.0,132.0,6.0,5.0
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,0,19.0,179.0,18.0,8.0
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,1,3.0,23.0,3.0,3.0
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,0,1.0,18.0,1.0,1.0
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,1,1.0,18.0,1.0,1.0
Ibis budget Nice,2025,7,N_F_B,PAP,0,7.0,68.0,7.0,4.0
Ibis budget Nice,2025,7,N_F_B,PAP,1,2.0,20.0,2.0,2.0
Ibis budget Nice,2025,8,F_B,FOOD SALEE,0,21.0,64.0,16.0,8.0
Ibis budget Nice,2025,8,F_B,FOOD SALEE,1,5.0,19.0,4.0,4.0
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,0,258.0,614.3000000000001,168.0,18.0
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,1,111.0,254.5,63.0,16.0
Ibis budget Nice,2025,8,N_F_B,#REF!,0,16.0,203.0,15.0,9.0
Ibis budget Nice,2025,8,N_F_B,#REF!,1,14.0,157.0,14.0,9.0
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,0,25.0,196.0,19.0,12.0
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,1,28.0,257.0,17.0,12.0
Ibis budget Nice,2025,8,N_F_B,JEUX / ENFANTS,1,2.0,36.0,2.0,1.0
Ibis budget Nice,2025,9,F_B,FOOD SALEE,0,25.0,69.0,20.0,8.0
Ibis budget Nice,2025,9,F_B,FOOD SALEE,1,10.0,25.5,9.0,6.0
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,0,187.0,445.40000000000003,132.0,18.0
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,1,127.0,287.7,79.0,17.0
