nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,1,63.0,232.6,40.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,2,25.0,91.2,19.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,3,38.0,143.6,22.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,4,8.0,29.7,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,5,11.0,40.8,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,6,12.0,45.0,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,7,9.0,36.6,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,8,26.0,100.7,21.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,9,22.0,82.3,13.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,10,22.0,79.2,17.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,11,13.0,50.300000000000004,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,12,17.0,64.2,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,13,48.0,176.6,18.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,14,25.0,92.9,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,15,56.0,203.9,34.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,16,64.0,231.1,44.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,17,63.0,228.70000000000002,36.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,18,65.0,228.7,37.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,19,76.0,287.7,45.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,20,82.0,309.8,52.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,21,158.0,621.5,96.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,22,190.0,726.7,128.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,F_B,SANS ALCOOL,23,232.0,897.0,139.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,COSMETIQUE,8,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,COSMETIQUE,19,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,COSMETIQUE,22,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,COSMETIQUE,23,1.0,8.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,0,30.0,220.0,24.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,1,6.0,38.0,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,2,3.0,34.0,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,3,2.0,20.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,4,2.0,28.0,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,5,3.0,20.0,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,6,16.0,101.0,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,7,14.0,90.0,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,8,21.0,129.0,17.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,9,9.0,72.0,8.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,10,19.0,173.0,16.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,11,15.0,125.0,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,12,4.0,62.0,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,13,7.0,61.0,5.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,14,3.0,45.0,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,15,14.0,110.0,9.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,16,12.0,114.0,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,17,13.0,85.0,8.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,18,23.0,179.0,12.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,19,14.0,146.0,13.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,20,29.0,254.0,24.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,21,44.0,402.0,36.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,22,51.0,394.0,41.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,9,N_F_B,SOS,23,37.0,268.0,30.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,0,57.0,376.7,40.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,1,28.0,190.5,25.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,2,19.0,117.2,15.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,3,8.0,63.7,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,4,8.0,48.0,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,5,1.0,9.5,1.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,6,3.0,21.5,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,7,6.0,44.0,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,8,3.0,21.0,3.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,9,2.0,9.0,2.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,10,4.0,31.5,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,11,8.0,55.4,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,12,24.0,173.4,15.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,13,13.0,96.4,11.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,14,14.0,93.7,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,15,7.0,45.4,6.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,16,8.0,57.5,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,10,F_B,FOOD SALEE,17,14.0,78.8,11.0,0.0,H3546
